Ligand,stage1,stage2,stage3
fda_0561.pdbqt,-7.84,,
fda_0562.pdbqt,-6.79,,
fda_0563.pdbqt,-6.58,,
fda_0564.pdbqt,-7.10,,
fda_0565.pdbqt,-5.44,,
fda_0566.pdbqt,-6.07,,
fda_0567.pdbqt,-6.13,,
fda_0568.pdbqt,-6.58 (invalid),,
fda_0569.pdbqt,-6.28,,
fda_0570.pdbqt,-5.99 (invalid),,
fda_0571.pdbqt,-6.62,,
fda_0572.pdbqt,-8.39,,
fda_0573.pdbqt,-6.44,,
fda_0574.pdbqt,-7.64,,
fda_0575.pdbqt,-7.99,,
fda_0576.pdbqt,-7.62,,
fda_0577.pdbqt,-7.32,,
fda_0578.pdbqt,-9.03,-9.04 (invalid),
fda_0579.pdbqt,-8.90,-8.90 (invalid),
fda_0580.pdbqt,-9.12 (invalid),,
fda_0581.pdbqt,-8.88 (invalid),,
fda_0582.pdbqt,-7.74,,
fda_0583.pdbqt,-7.54,,
fda_0584.pdbqt,-8.27,,
fda_0585.pdbqt,-8.38,,
fda_0586.pdbqt,-8.07,,
fda_0587.pdbqt,-8.55,,
fda_0588.pdbqt,-7.27,,
fda_0589.pdbqt,-7.75,,
fda_0590.pdbqt,-8.22,,
fda_0591.pdbqt,-8.32,,
fda_0592.pdbqt,-7.77,,
fda_0593.pdbqt,-7.88,,
fda_0594.pdbqt,-5.58,,
fda_0595.pdbqt,-5.44,,
fda_0596.pdbqt,-8.21,,
fda_0597.pdbqt,-8.26,,
fda_0598.pdbqt,-6.55,,
fda_0599.pdbqt,-6.42,,
fda_0600.pdbqt,-6.66,,
fda_0601.pdbqt,-7.42,,
fda_0602.pdbqt,-7.42,,
fda_0603.pdbqt,-6.93,,
fda_0604.pdbqt,-6.92,,
fda_0605.pdbqt,-6.89,,
fda_0606.pdbqt,-7.59,,
fda_0607.pdbqt,-7.72,,
fda_0608.pdbqt,-8.51,,
fda_0609.pdbqt,-7.74,,
fda_0610.pdbqt,-8.86,-8.83,
fda_0611.pdbqt,-8.84,-8.80,
fda_0612.pdbqt,-9.08,-9.12,
fda_0613.pdbqt,-8.98,-8.92,
fda_0614.pdbqt,-8.03,,
fda_0615.pdbqt,-8.90,-8.85,
fda_0616.pdbqt,-9.16,-8.60,
fda_0617.pdbqt,-8.90,-8.91,
fda_0618.pdbqt,-7.92,,
fda_0619.pdbqt,-7.37,,
fda_0620.pdbqt,-8.44,,
fda_0621.pdbqt,-8.14,,
fda_0622.pdbqt,-8.35,,
fda_0623.pdbqt,-8.61,-8.65,
fda_0624.pdbqt,-6.65,,
fda_0625.pdbqt,-7.79,,
fda_0626.pdbqt,-8.04,,
fda_0627.pdbqt,-8.34,,
fda_0628.pdbqt,-6.64,,
fda_0629.pdbqt,-7.50,,
fda_0630.pdbqt,-6.60,,
fda_0631.pdbqt,-7.41,,
fda_0632.pdbqt,-8.00,,
fda_0633.pdbqt,-9.28,-9.22,
fda_0634.pdbqt,-8.20,,
fda_0635.pdbqt,-8.02,,
fda_0636.pdbqt,-8.57,-8.61,
fda_0637.pdbqt,-8.00,,
